Country	Beverage Types	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
Ecuador	 Spirits	1.19	1.32	1.4	1.37	1.58	1.77	1.89	2.19	2.57	2.59
Ecuador	 Other alcoholic beverages	0.02	0.02	0.01	0.01	0.01	0.01	0	0	0	0
Egypt	 All types	0.2	0.23	0.2	0.18	0.16	0.16	0.15	0.15	0.14	0.14
Egypt	 Beer	0.11	0.11	0.11	0.1	0.09	0.08	0.07	0.07	0.06	0.06
Egypt	 Wine	0.04	0.05	0.04	0.02	0.02	0.02	0.02	0.02	0.01	0.01
Egypt	 Spirits	0.05	0.06	0.06	0.05	0.05	0.05	0.06	0.06	0.06	0.07
Egypt	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
El Salvador	 All types	2.48	2.59	2.73	2.66	2.67	2.78	2.98	2.85	2.76	2.67
El Salvador	 Beer	0.92	0.96	1	0.97	0.91	1.03	1.02	1.03	1.01	0.99
El Salvador	 Wine	0.03	0.03	0.03	0.03	0.03	0.03	0.09	0.02	0.02	0.04
El Salvador	 Spirits	1.53	1.6	1.69	1.66	1.74	1.72	1.87	1.79	1.73	1.64
El Salvador	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Equatorial Guinea	 All types	7.89	8.28	6.81	7.23	7.15	7.72	7.14	6.03	5.09	4.44
Equatorial Guinea	 Beer	4.02	3.92	3.14	3.32	3.06	2.44	2.13	1.21	0.8	0.68
